title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Who Killed The Electric Car?,http://www.abc.net.au/atthemovies/txt/s1768677.htm,11/1/2006,2/11/2006,PG,92,Documentary,,Chris Paine,English,Sony Pictures Releasing,3.5,4,7.5
Wild Target,http://www.abc.net.au/atthemovies/txt/s3044683.htm,11/10/2010,11/4/2010,M,104,"Action, Comedy, Crime, Drama",Bill Nighy,Jonathan Lynn,English,Icon Film Distribution,4,3.5,7.5
Zelary,http://www.abc.net.au/atthemovies/txt/s1249556.htm,11/25/2004,25/11/2004,M,142,Rommance,A,Ond&#xFFFD;ej Trojan,Czech,Rialto,3.5,4,7.5
2012,http://www.abc.net.au/atthemovies/txt/s2725404.htm,11/4/2009,12/11/2009,M,158,"Action, Drama, Sci-Fi, Thriller",John Cusack,Roland Emmerich,English,Sony Pictures Releasing,3.5,3.5,7
22 Jump Street,http://www.abc.net.au/atthemovies/txt/s4017246.htm,6/17/2014,19/06/2014,MA15+,112,"Action, Comedy, Crime",Channing Tatum,Phil Lord,English,Sony Pictures Releasing,3.5,3.5,7
30 Days Of Night,http://www.abc.net.au/atthemovies/txt/s2064398.htm,11/7/2007,8/11/2007,MA15+,110,Horror,Josh Hartnett,David Slade,English,Icon Films,3.5,3.5,7
49 Up,http://www.abc.net.au/atthemovies/txt/s1697276.htm,8/2/2006,,M,136,Documentary,,Michael Apted,English,Dendy Films,4,3,7
5 Days of War,http://www.abc.net.au/atthemovies/txt/s3261481.htm,7/13/2011,21/07/2011,MA15+,113,"Drama, Action, War",Rupert Friend,Renny Harlin,English,Anchor Bay Distribution,3.5,3.5,7
52 Tuesdays,http://www.abc.net.au/atthemovies/txt/s3985197.htm,4/29/2014,1/5/2014,MA15+,114,"Drama, Family",Tilda Cobham-Hervey,Sophie Hyde,English,Vendetta Films,3.5,3.5,7
9 Songs,http://www.abc.net.au/atthemovies/txt/s1358899.htm,5/4/2005,12/5/2005,R18+,69,Drama,,Michael Winterbottom,,Accent Films,4,3,7
A Single Man,http://www.abc.net.au/atthemovies/txt/s2820910.htm,2/24/2010,24/02/2010,M,99,Drama,Colin Firth,Tom Ford,English,Icon Films,3.5,3.5,7
A Thousand Times Goodnight,http://www.abc.net.au/atthemovies/txt/s4127989.htm,11/25/2014,27/11/2014,M,117,Drama,Juliette Binoche,Erik Poppe,English,Regency Films,3,4,7
About Time,http://www.abc.net.au/atthemovies/txt/s3860883.htm,10/15/2013,17/10/2013,M,123,"Comedy, Drama, Sci-Fi",Domhnall Gleeson,Richard Curtis,English,Universal Pictures International,3.5,3.5,7
Alan Patridge: Alpha Papa,http://www.abc.net.au/atthemovies/txt/s3860908.htm,10/22/2013,24/10/2013,M,90,Comedy,Steve Coogan,Declan Lowney,English,Studiocanal,4,3,7
Amelia,http://www.abc.net.au/atthemovies/txt/s2732031.htm,11/11/2009,12/11/2009,PG,115,"Biography, Drama",Hilary Swank,Mira Nair,English,20th Century Fox,3.5,3.5,7
Amos Oz: The Nature Of Dreams,http://www.abc.net.au/atthemovies/txt/s2860111.htm,4/28/2010,29/04/2010,G,86,Documentary,Amos Oz,Yonathan &amp; Masha Zur,,Sharmill Films,4,3,7
An Education,http://www.abc.net.au/atthemovies/txt/s2693244.htm,10/14/2009,22/10/2009,M,100,Drama,Peter Sarsgaard,Lone Scherfig,English,Paramount Pictures Australia,3.5,3.5,7
Anchorman 2: The Legend Continues,http://www.abc.net.au/atthemovies/txt/s3903339.htm,12/10/2013,19/12/2013,M,119,Comedy,"Will Ferrell,",Adam McKay,English,Paramount Pictures Australia,3.5,3.5,7
Angele et Tony,http://www.abc.net.au/atthemovies/txt/s3208870.htm,5/11/2011,19/05/2011,M,80,Drama,Clotilde Hesme,Alix Delaporte,French,Palace Films,3.5,3.5,7
Angels And Demons,http://www.abc.net.au/atthemovies/txt/s2547626.htm,5/13/2009,14/05/2009,,140,Drama,Tom Hanks,Ron Howard,English,Sony Pictures,3.5,3.5,7
Another Year,http://www.abc.net.au/atthemovies/txt/s3076575.htm,12/12/2010,27/01/2011,M,129,"Drama, Family",Jim Broadbent,Mike Leigh,English,Icon,3.5,3.5,7
Appaloosa,http://www.abc.net.au/atthemovies/txt/s2502257.htm,3/11/2009,12/3/2009,M,115,Action/Western,Ed Harris,Ed Harris,English,Roadshow,3.5,3.5,7
Assault on Precinct 13,http://www.abc.net.au/atthemovies/txt/s1328103.htm,3/30/2005,31/03/2005,MA15+,109,"Action, Drama, Crime, Thriller",Ethan Hawke,Jean-Francois Richet,English,United International Pictures,3.5,3.5,7
Australia,http://www.abc.net.au/atthemovies/txt/s2412340.htm,11/26/2008,26/11/2008,M,165,Drama,Nicole Kidman,Baz Luhrmann,English,20th Century Fox,3.5,3.5,7
Baadasssss,http://www.abc.net.au/atthemovies/txt/s1316229.htm,3/16/2005,17/03/2005,MA15+,109,Bio-pic/ Drama,Mario Van Peebles,Mario Van Peebles,English,Imagine Entertainment,4,3,7
Bastardy,http://www.abc.net.au/atthemovies/txt/s2590401.htm,6/24/2009,25/06/2009,M,83,Documentary,,Amiel Courtin-Wilson,English,Film Camp,3.5,3.5,7
Beautiful Creatures,http://www.abc.net.au/atthemovies/txt/s3689610.htm,2/19/2013,21/02/2012,M,124,"Drama, Adventure, Fantasy",Alice Englert,Richard LaGravenese,English,Roadshow Films,3.5,3.5,7
Beauty,http://www.abc.net.au/atthemovies/txt/s3552378.htm,8/8/2012,2/8/2012,R18+,104,Drama,Deon Lotz,Oliver Hermanus,English,Palace Films,3.5,3.5,7
Beginners,http://www.abc.net.au/atthemovies/txt/s3293928.htm,8/24/2011,25/08/2011,M,105,"Comedy, Drama",Ewan McGregor,Mike Mills,English,Hopscotch,3.5,3.5,7
Belle,http://www.abc.net.au/atthemovies/txt/s3995914.htm,5/6/2014,8/5/2014,PG,105,Drama,Gugu Mbatha-Raw,Amma Asante,English,ICON Film Distribution,3,4,7
Bewitched,http://www.abc.net.au/atthemovies/txt/s1407298.htm,7/6/2005,7/7/2005,PG,102,Comedy,Nicole Kidman,Nora Ephron,English,Sony Pictures Releasing,3.5,3.5,7
Black & White & Sex,http://www.abc.net.au/atthemovies/txt/s3442319.htm,3/21/2012,22/03/2012,MA15+,91,Drama,,John Winter,English,Titan View,3.5,3.5,7
Black Water,http://www.abc.net.au/atthemovies/txt/s2213545.htm,4/23/2008,24/04/2008,MA15+,88,Horror,Diana Glenn,David Nerlich,English,All Interactive Distribution,3.5,3.5,7
Blades Of Glory,http://www.abc.net.au/atthemovies/txt/s1941432.htm,6/13/2007,14/06/2007,M,93,Comedy,Will Ferrell,Will Speck,English,Paramount Pictures Australila,3.5,3.5,7
Blame,http://www.abc.net.au/atthemovies/txt/s3231524.htm,6/15/2011,16/06/2011,MA15+,86,"Drama, Thriller",Damian de Montemas,Michael Henry,English,Packscreen,3.5,3.5,7
Blancanieves,http://www.abc.net.au/atthemovies/txt/s3860909.htm,10/22/2013,24/10/2013,M,100,"Drama, Fantasy",Maribel Verd,Pablo Berger,Spanish,Rialto Distribution,4,3,7
Body Of Lies,http://www.abc.net.au/atthemovies/txt/s2372277.htm,10/8/2008,9/10/2008,MA15+,128,Drama,Leonardo DiCaprio,Ridley Scott,English,Roadshow,3,4,7
Brick,http://www.abc.net.au/atthemovies/txt/s1697543.htm,8/9/2006,10/8/2006,M,105,Drama,Joseph Gordon-Levitt,Rian Johnson,English,Rialto,3.5,3.5,7
Brick Lane,http://www.abc.net.au/atthemovies/txt/s2178332.htm,3/19/2008,20/03/2008,M,101,Drama,Tannishtha Chatterjee,Sarah Gavron,English,Madman Cinema,3.5,3.5,7
Bridget Jones: The Edge of Reason,http://www.abc.net.au/atthemovies/txt/s1233208.htm,11/4/2004,11/11/2004,MA15+,107,Comedy,Renee Zellweger,Beeban Kidron,English,United International Pictures,4,3,7
Burke & Wills,http://www.abc.net.au/atthemovies/txt/s1888295.htm,4/11/2007,12/4/2007,MA15+,72,Drama,Oliver Torr ,Oliver Torr,English,Leni Media,3.5,3.5,7
Capitalism: A Love Story,http://www.abc.net.au/atthemovies/txt/s2709688.htm,10/28/2009,5/11/2009,M,120,Documentary,,Michael Moore,English,Paramount Pictures Australia,3.5,3.5,7
Captain Phillips,http://www.abc.net.au/atthemovies/txt/s3835875.htm,10/15/2013,24/10/2013,M,107,"Biography, Crime, Drama",Tom Hanks,Paul Greengrass,English,Sony Pictures Releasing,4,3,7
Cars 2,http://www.abc.net.au/atthemovies/txt/s3246776.htm,6/29/2011,23/06/2011,PG,113,"Animation, Adventure, Family, Comedy",Voices,John Lasseter,English,Walt Disney Studios,2.5,4.5,7
Charlie & Boots,http://www.abc.net.au/atthemovies/txt/s2656452.htm,9/2/2009,3/9/2009,M,101,"Comedy, Drama",Paul Hogan,Dean Murphy,English,Paramount Pictures,3.5,3.5,7
Cheri,http://www.abc.net.au/atthemovies/txt/s2616241.htm,7/22/2009,23/07/2009,M,93,Romantic Drama,Michelle Pfeiffer,Stephen Frears,English,Icon Film Distribution,3.5,3.5,7
Child's Pose,http://www.abc.net.au/atthemovies/txt/s4001577.htm,5/13/2014,15/05/2014,M,112,Drama,Luminita Gheorghiu,Calin Peter Netzer,,Palace Films,4,3,7
Chinese Takeaway,http://www.abc.net.au/atthemovies/txt/s3564374.htm,8/29/2012,30/08/2012,M,106,Drama,Ricardo Darin,Sebastian Borensztein,English,Rialto Distribution,3.5,3.5,7
City Of Ember,http://www.abc.net.au/atthemovies/txt/s2412384.htm,11/26/2008,11/12/2008,G,95,Adventure/Fantasy,Bill Murray,Gil Kenan,English,Icon,3.5,3.5,7
Closed Circuit,http://www.abc.net.au/atthemovies/txt/s3898558.htm,12/2/2013,5/12/2013,M,96,"Crime, Drama, Mystery",Eric Bana,John Crowley,English,Pick Up Truck Pictures and Cinema Plus,3.5,3.5,7
Clubland,http://www.abc.net.au/atthemovies/txt/s1962672.htm,6/27/2007,28/06/2007,M,98,Drama,Brenda Blethyn,Cherie Nowlan,English,Palace,3.5,3.5,7
Coffee and Cigarettes,http://www.abc.net.au/atthemovies/txt/s1171772.htm,8/12/2004,19/08/2004,MA15+,96,Arthouse,,Jim Jarmusch,English,Rialto Entertainment,3.5,3.5,7
Comme Une Image (Look At Me),http://www.abc.net.au/atthemovies/txt/s1320506.htm,3/23/2005,24/03/2005,PG,110,Drama,Jean-Pierre Bacri,Agnes Jaoui,French,Dendy,2.5,4.5,7
Connie and Carla,http://www.abc.net.au/atthemovies/txt/s1163711.htm,7/29/2004,5/8/2004,PG,98,Comedy,Nia Vardalos,Michael Lembeck,English,Roadshow Films,4,3,7
Copying Beethoven,http://www.abc.net.au/atthemovies/txt/s1888360.htm,4/18/2007,19/04/2007,PG,104,Drama,Ed Harris,Agnieszka Holland,English,Hopscotch,4,3,7
Crazy Heart,http://www.abc.net.au/atthemovies/txt/s2806904.htm,2/17/2010,18/02/2010,M,112,"Drama, Music, Romance",Jeff Bridges,Scott Cooper,English,20th Century Fox,3.5,3.5,7
Creation,http://www.abc.net.au/atthemovies/txt/s2931068.htm,7/14/2010,15/07/2010,PG,108,"Drama, History",Paul Bettany,Jon Amiel,English,Icon Film Distribution,4,3,7
DIG,http://www.abc.net.au/atthemovies/txt/s1329331.htm,4/6/2005,14/04/2005,MA15+,105,Documentary,Courtney Taylor,Ondi Timoner,English,Madman Cinema,4.5,2.5,7
Dead Europe,http://www.abc.net.au/atthemovies/txt/s3621561.htm,11/14/2012,15/11/2012,MA15+,84,Drama,Ewen Leslie,Tony Krawitz,English,Hopscotch,3.5,3.5,7
Deepsea Challenge 3D,http://www.abc.net.au/atthemovies/txt/s4054006.htm,8/19/2014,21/08/2014,PG,91,Documentary,James Cameron,John Bruno,English,Beyod Films/Label Distribution,4,3,7
Delirious,http://www.abc.net.au/atthemovies/txt/s2053969.htm,10/31/2007,1/11/2007,MA15+,107,Comedy,Steve Buscemi,Tom DiCillo,English,Interactive Entertainment,3.5,3.5,7
Despicable Me 2,http://www.abc.net.au/atthemovies/txt/s3780088.htm,6/18/2013,20/06/2013,PG,90,"Animation, Adventure, Fantasy, Family",Voices,Pierre Coffin,English,Universal Pictures International,3.5,3.5,7
Die Hard 4,http://www.abc.net.au/atthemovies/txt/s1983603.htm,8/8/2007,9/8/2007,M,128,Action/Drama,Bruce Willis,Len Wiseman,English,20th Century Fox,3.5,3.5,7
Django Unchained,http://www.abc.net.au/atthemovies/txt/s3637810.htm,2/19/2013,,MA15+,,"Adventure, Drama, Western",Jamie Foxx,Quentin Tarantino,English,,3.5,3.5,7
Dr Seuss' The Lorax,http://www.abc.net.au/atthemovies/txt/s3441523.htm,3/28/2012,29/03/2012,G,86,"Animation, Family, Fantasy",Voices,Chris Renaud,English,Universal Pictures International,3.5,3.5,7
Drive,http://www.abc.net.au/atthemovies/txt/s3325812.htm,10/19/2011,27/10/2011,MA15+,100,"Action, Crime, Drama, Thriller",Ryan Gosling,Nicolas Winding Refn,English,Pinnacle Films,3.5,3.5,7
Easy A,http://www.abc.net.au/atthemovies/txt/s3005040.htm,9/22/2010,16/09/2010,M,92,Comedy Romance,Emma Stone,Will Gluck,English,Sony Pictures Releasing,3.5,3.5,7
Edge Of Tomorrow,http://www.abc.net.au/atthemovies/txt/s4006117.htm,6/3/2014,5/6/2014,M,131,"Action, Sci-Fi",Tom Cruise,Doug Liman,English,Roadshow Films,3.5,3.5,7
Eight Below,http://www.abc.net.au/atthemovies/txt/s1608501.htm,4/12/2006,20/04/2006,PG,120,Drama,Paul Walker,Frank Marshall,English,Buena Vista International,4,3,7
Elizabeth - The Golden Age,http://www.abc.net.au/atthemovies/txt/s2065833.htm,11/14/2007,15/11/2007,M,114,Drama,Cate Blanchett,Shekhar Kapur,English,Universal,3.5,3.5,7
Elysium,http://www.abc.net.au/atthemovies/txt/s3814922.htm,8/20/2013,15/08/2013,MA15+,109,"Action, Drama, Sci-Fi",Matt Damon,Neill Blomkamp,English,Sony Pictures Releasing,4,3,7
Enduring Love,http://www.abc.net.au/atthemovies/txt/s1320384.htm,3/23/2005,24/03/2005,,100,Drama,Daniel Craig,Roger Michell,English,Hopscotch,3,4,7
Errors Of The Human Body,http://www.abc.net.au/atthemovies/txt/s3780161.htm,6/25/2013,20/06/2013,M,101,"Drama, Thriller",Michael Eklund,Eron Sheean,English,Curious Films,3.5,3.5,7
Evening,http://www.abc.net.au/atthemovies/txt/s1963590.htm,7/11/2007,19/07/2007,M,117,Drama,Claire Danes,Lajos Koltai,English,Hopscotch,3.5,3.5,7
Every Little Step,http://www.abc.net.au/atthemovies/txt/s2603128.htm,7/1/2009,2/7/2009,M,89,Documentary,,Adam Del Deo,English,Sony Pictures,4,3,7
Exit Through the Gift Shop,http://www.abc.net.au/atthemovies/txt/s2909002.htm,6/9/2010,3/6/2010,M,82,Documentary,,,English,Madman,3.5,3.5,7
Fair Game,http://www.abc.net.au/atthemovies/txt/s3060340.htm,11/24/2010,25/11/2010,M,107,"Action, Biography, Drama, Thriller",Naomi Watts,Doug Liman,English,Hoyts Distribution,4,3,7
Fantastic Mr Fox,http://www.abc.net.au/atthemovies/txt/s2738627.htm,12/6/2009,1/1/2010,PG,87,"Animation, Adventure, Family, Fantasy, Comedy",Voices:,Wes Anderson,English,20th Century Fox,3.5,3.5,7
Farewell My Queen,http://www.abc.net.au/atthemovies/txt/s3768223.htm,6/4/2013,6/6/2013,M,95,"History,Drama",Diane Kruger,Benoit Jacquot,English,Transmission Films,3.5,3.5,7
Feux Rouges (Red Lights),http://www.abc.net.au/atthemovies/txt/s1295930.htm,2/16/2005,17/02/2005,M,106,Thriller,Jean-Pierre Darroussin,C&#xFFFD;dric Kahn,French,Potential Films,3.5,3.5,7
Filth,http://www.abc.net.au/atthemovies/txt/s3891661.htm,11/19/2013,21/11/2013,R18+,97,Drama,James McAvoy,Jon S Baird,English,Icon Film Distribution,4,3,7
Fish Tank,http://www.abc.net.au/atthemovies/txt/s2899468.htm,6/2/2010,27/05/2010,MA15+,123,Drama,Katie Jarvis,Andrea Arnold,English,Transmission Films,3.5,3.5,7
Footy Legends,http://www.abc.net.au/atthemovies/txt/s1697224.htm,8/2/2006,3/8/2006,PG,89,Drama,Anh Do,Khoa Do,English,Icon Film Distribution,3.5,3.5,7
Freedom Writers,http://www.abc.net.au/atthemovies/txt/s1864281.htm,3/21/2007,22/03/2007,M,123,Drama,Hilary Swank,Richard Lagravenese,English,Paramount Pictures Australia,3.5,3.5,7
Frozen,http://www.abc.net.au/atthemovies/txt/s3903329.htm,12/10/2013,26/12/2013,PG,108,"Animation, Adventure, Comedy",Voice,Chris Buck,English,Walt Disney Studios,3.5,3.5,7
Fruitvale Station,http://www.abc.net.au/atthemovies/txt/s3875051.htm,11/5/2013,7/11/2013,M,85,"Biography, Drama",Michael B. Jordan,Ryan Coogler,English,Roadshow Films,3.5,3.5,7
Garden State,http://www.abc.net.au/atthemovies/txt/s1249417.htm,11/25/2004,25/11/2004,MA15+,104,Drama,Zach Braff,Zach Braff,English,Buena Vista International,3.5,3.5,7
GasLand,http://www.abc.net.au/atthemovies/txt/s3044685.htm,11/17/2010,18/11/2010,PG,104,Documentary,,Josh Fox,English,Palace Films,4,3,7
Genova,http://www.abc.net.au/atthemovies/txt/s2725408.htm,11/4/2009,5/11/2009,M,112,Drama,Colin Firth ,Michael Winterbottom,English,Palace Films,3.5,3.5,7
Glass - A Portrait Of Philip In Twelve Parts,http://www.abc.net.au/atthemovies/txt/s2402353.htm,11/12/2008,13/11/2008,PG,114,Documentary,,Scott Hicks,English,Sharmill Films,4,3,7
Global Haywire,http://www.abc.net.au/atthemovies/txt/s2200791.htm,4/9/2008,10/4/2008,M,80,Documentary,,Bruce Petty,English,Hopscotch,4,3,7
Goddess,http://www.abc.net.au/atthemovies/txt/s3697776.htm,3/12/2013,14/03/2013,PG,104,"Comedy, Musical, Romance",Ronan Keating,Mark Lamprell,English,Roadshow Films,3.5,3.5,7
Going The Distance,http://www.abc.net.au/atthemovies/txt/s2970922.htm,8/25/2010,2/9/2010,MA15+,102,"Romance, Comedy",Drew Barrymore,Nanette Burstein,English,Roadshow Films,3.5,3.5,7
Great Expectations,http://www.abc.net.au/atthemovies/txt/s3683782.htm,3/5/2013,7/3/2013,M,129,Drama,Ralph Fiennes,Mike Newell,English,Universal Pictures International,4,3,7
Guardians of the Galaxy,http://www.abc.net.au/atthemovies/txt/s4053998.htm,8/5/2014,7/8/2014,,121,"Action, Adventure, Sci-Fi",Chris Pratt,James Gunn,English,Marvel,4,3,7
Hail,http://www.abc.net.au/atthemovies/txt/s3607042.htm,10/24/2012,25/10/2012,R18+,103,Drama,Daniel P Jones,Amiel Courtin-Wilson,English,Madman,4.5,2.5,7
Half Of A Yellow Sun,http://www.abc.net.au/atthemovies/txt/s3957993.htm,3/18/2014,27/03/2014,M,111,Drama,Chiwetel Ejiofor,Biyi Bandele,English,Leap Frog Films,3,4,7
Happiness Never Comes Alone,http://www.abc.net.au/atthemovies/txt/s3758967.htm,5/21/2013,30/05/2013,M,105,"Comedy, Romance",Gad Elmaleh,James Huth,English,Madman Cinema,3.5,3.5,7
Happy Endings,http://www.abc.net.au/atthemovies/txt/s1589057.htm,3/22/2006,23/02/2006,M,128,Comedy,Tom Arnold,Don Roose,English,Rialto,4,3,7
Happy Feet Two,http://www.abc.net.au/atthemovies/txt/s3374249.htm,11/30/2011,26/12/2011,PG,114,"Animation, Comedy, Family, Music",Voices,George Miller,English,Roadshow,3.5,3.5,7
Happy-Go-Lucky,http://www.abc.net.au/atthemovies/txt/s2265598.htm,6/25/2008,26/06/2008,M,118,Drama,Sally Hawkins,Mike Leigh,English,Rialto,4,3,7
Hard Candy,http://www.abc.net.au/atthemovies/txt/s1675460.htm,7/12/2006,13/07/2006,R18+,104,Drama/Thriller,Patrick Wilson,David Slade,English,Icon Film Distribution,3.5,3.5,7
Harry Potter And The Order Of The Phoenix,http://www.abc.net.au/atthemovies/txt/s1963492.htm,7/11/2007,12/7/2007,M,138,Drama,Daniel Radcliffe,David Yates,English,Roadshow Films,3.5,3.5,7
Harry Potter and the Deathly Hallows: Part 2,http://www.abc.net.au/atthemovies/txt/s3219952.htm,7/13/2011,14/07/2011,M,146,"Action, Adventure, Drama, Fantasy, Mystery",Daniel Radcliffe,David Yates,English,Roadshow Films,3.5,3.5,7
Head On,http://www.abc.net.au/atthemovies/txt/s1292830.htm,2/9/2005,3/2/2005,R18+,121,Drama,Birol ,Fatih Akin,German,Gil Scrine Films,3,4,7
Healing,http://www.abc.net.au/atthemovies/txt/s3985194.htm,4/29/2014,8/5/2014,M,119,Drama,Hugo Weaving,Craig Monahan,English,Pinnacle Films,4,3,7
Hector and the Search For Happiness,http://www.abc.net.au/atthemovies/txt/s4104375.htm,10/14/2014,23/10/2014,M,120,"Adventure, Comedy, Drama",Simon Pegg,Peter Chelsom,English,Becker Film Group,3.5,3.5,7
Hereafter,http://www.abc.net.au/atthemovies/txt/s3092890.htm,2/9/2011,10/2/2011,M,129,"Drama, Fantasy",Matt Damon,Clint Eastwood,English,Roadshow Films,3.5,3.5,7
Hey Hey It's Esther Blueburger,http://www.abc.net.au/atthemovies/txt/s2178007.htm,3/12/2008,20/03/2008,M,103,Drama,Danielle Catanzariti,Cathy Randall,English,Walt Disney Studios Australia,3.5,3.5,7
Horton Hears A Who!,http://www.abc.net.au/atthemovies/txt/s2189953.htm,3/26/2008,20/03/2008,G,86,Animation,Jim Carrey,Jimmy Hayward,English,20th Century Fox,3.5,3.5,7
Hotel Rwanda,http://www.abc.net.au/atthemovies/txt/s1296194.htm,2/23/2005,24/02/2005,M,122,Drama / History,Don Cheadle,Terry George,English,Roadshow Films,3.5,3.5,7
How To Train Your Dragon,http://www.abc.net.au/atthemovies/txt/s2831142.htm,3/17/2010,25/03/2010,PG,95,"Animation, Adventure, Family, Fantasy",Voices,Dean DeBlois,English,Paramount Pictures Australia,4,3,7
Hunt Angels,http://www.abc.net.au/atthemovies/txt/s1789059.htm,11/29/2006,30/11/2006,M,85,Docu/Drama,Ben Mendelsohn,Alec Morgan,English,Palace Films,3,4,7
I Served The King Of England,http://www.abc.net.au/atthemovies/txt/s2099251.htm,12/16/2007,26/12/2007,M,114,Drama,Ivan Barnev,Jir&#xFFFD; Menzel,Czech,Rialto,3.5,3.5,7
I'm Not There,http://www.abc.net.au/atthemovies/txt/s2099524.htm,12/16/2007,26/12/2007,M,135,Biography,Cate Blanchett,Todd Haynes,English,Icon,3.5,3.5,7
I'm Still Here,http://www.abc.net.au/atthemovies/txt/s2970908.htm,9/22/2010,16/09/2010,MA15+,107,Documentary,Joaquin Phoenix,Casey Affleck,English,Roadshow,4,3,7
In Bruges,http://www.abc.net.au/atthemovies/txt/s2335261.htm,8/27/2008,4/9/2008,MA15+,107,Comedy/Drama,Colin Farrell,Martin McDonagh,English,Icon Film Distribution,3.5,3.5,7
In Good Company,http://www.abc.net.au/atthemovies/txt/s1348532.htm,4/20/2005,21/04/2005,PG,110,Romantic Comedy,Dennis Quaid,Paul Weitz,English,Roadshow Films,3.5,3.5,7
In My Father's Den,http://www.abc.net.au/atthemovies/txt/s1227314.htm,10/28/2004,28/10/2004,MA15+,126,Drama,Matthew Macfadyen,Brad McGann,English,Icon Films,3.5,3.5,7
In The Fog,http://www.abc.net.au/atthemovies/txt/s3697738.htm,3/12/2013,14/03/2013,M,123,"Drama, History, War",Vladimir Svirskiy,Sergei Loznitsa,English,Shamill Films,3,4,7
In The Land Of Women,http://www.abc.net.au/atthemovies/txt/s1968626.htm,7/18/2007,26/07/2007,M,98,Romantic Drama,Adam Brody,Jon Kasdan,English,Hoyts,3,4,7
Incendies,http://www.abc.net.au/atthemovies/txt/s3163476.htm,4/20/2011,21/04/2011,MA15+,130,"Drama, Mystery, War",Lubna Azabal,Denis Villeneuve,French,Hopscotch,3,4,7
Infamous,http://www.abc.net.au/atthemovies/txt/s1911603.htm,5/16/2007,17/05/2007,M,118,Drama,Toby Jones,Douglas McGrath,English,Icon Films,4,3,7
Inside Man,http://www.abc.net.au/atthemovies/txt/s1599749.htm,3/29/2006,30/03/2006,MA15+,129,Crime Drama,Denzel Washington,Spike Lee,English,UIP,3.5,3.5,7
Into Great Silence,http://www.abc.net.au/atthemovies/txt/s1910423.htm,5/9/2007,17/05/2007,G,162,Documentary,,Philip Groning,German,Dendy Films,3.5,3.5,7
Iron Man 2,http://www.abc.net.au/atthemovies/txt/s2879919.htm,5/5/2010,29/04/2010,M,148,"Action, Adventure, Sci-Fi, Thriller",Robert Downey Jr,Jon Favreau,English,Paramount Pictures Australia,3.5,3.5,7
